date,target_range,change_bps,note
01/26/22,0.00 - 0.25%,0,"Hold, prepare to raise"
03/16/22,0.25 - 0.50%,25,Start of tightening cycle
05/04/22,0.75 - 1.00%,50,Increase by 50 basis poinrs
06/15/22,1.50 - 1.75%,75,Increase by 75 basis poinrs
07/27/22,2.25 - 2.50%,75,Another increase by 75 basis points
09/21/22,3.00 - 3.25%,75,Add 75 basis points
11/02/22,3.75 - 4.00%,75,Add 75 basis points
12/14/22,4.25 - 4.50%,50,"Slower pace, 50 basis points"
02/01/23,4.50 - 4.75%,25,Increase by 25 basis points
03/22/23,4.75 - 5.00%,25,Increase by 25 basis points
05/03/23,5.00 - 5.25%,25,Increase by 25 basis points
06/14/23,5.00 - 5.25%,0,Hold
07/26/23,5.25 - 5.50%,25,Increase by 25 basis points
09/20/23,5.25 - 5.50%,0,Hold
11/01/23,5.25 - 5.50%,0,Hold
12/13/23,5.25 - 5.50%,0,"Hold, discuss possible cuts in 2024"
01/31/24,5.25 - 5.50%,0,Hold
03/20/24,5.25 - 5.50%,0,"Hold, monitor inflation"
05/01/24,5.25 - 5.50%,0,Hold
07/31/24,5.25 - 5.50%,0,"Hold, no cuts yet"
11/07/24,4.50 - 4.75%,-25,"Start of easing cycle, cut 25 basis points"
12/18/24,4.25 - 4.50%,-25,Further cut of 25 basis points
